Identifier: KEWR04RL_arrival_corridor
Segment: 1
Surface: w1
715.382671 -2512.202426 0.181037

Segment: 2
Surface: w1
715.108232 -2511.971019 0.181037
715.253753 -2512.482193 0.394989
715.528248 -2512.713646 0.394989
715.382671 -2512.202426 0.181037

Surface: w2
714.855873 -2511.067913 0.246868
715.012522 -2511.618174 0.477279
716.784273 -2511.814320 0.477279
716.627236 -2511.264015 0.246868

Surface: s1
714.855873 -2511.067913 0.246868
715.012522 -2511.618174 0.477279
715.253753 -2512.482193 0.394989
715.108232 -2511.971019 0.181037

Surface: s2
715.382671 -2512.202426 0.181037
715.528248 -2512.713646 0.394989
716.784273 -2511.814320 0.477279
716.627236 -2511.264015 0.246868

Surface: u
715.253753 -2512.482193 0.394989
715.012522 -2511.618174 0.477279
716.784273 -2511.814320 0.477279
715.528248 -2512.713646 0.394989

Surface: l
714.855873 -2511.067913 0.246868
715.108232 -2511.971019 0.181037
715.382671 -2512.202426 0.181037
716.627236 -2511.264015 0.246868

Segment: 3
Surface: w1
714.855873 -2511.067913 0.246868
715.012522 -2511.618174 0.477279
716.784273 -2511.814320 0.477279
716.627236 -2511.264015 0.246868

Surface: w2
714.449841 -2510.873053 0.279784
714.651126 -2511.580454 0.576026
717.665348 -2509.390549 0.576026
717.463214 -2508.683766 0.279784

Surface: s1
714.449841 -2510.873053 0.279784
714.651126 -2511.580454 0.576026
715.012522 -2511.618174 0.477279
714.855873 -2511.067913 0.246868

Surface: s2
716.627236 -2511.264015 0.246868
716.784273 -2511.814320 0.477279
717.665348 -2509.390549 0.576026
717.463214 -2508.683766 0.279784

Surface: u
715.012522 -2511.618174 0.477279
714.651126 -2511.580454 0.576026
717.665348 -2509.390549 0.576026
716.784273 -2511.814320 0.477279

Surface: l
714.449841 -2510.873053 0.279784
714.855873 -2511.067913 0.246868
716.627236 -2511.264015 0.246868
717.463214 -2508.683766 0.279784

Segment: 4
Surface: w1
714.449841 -2510.873053 0.279784
714.651126 -2511.580454 0.576026
717.665348 -2509.390549 0.576026
717.463214 -2508.683766 0.279784

Surface: w2
713.607314 -2511.375219 0.296242
713.864205 -2512.279287 0.674773
717.798234 -2507.802104 0.674773
717.539929 -2506.899651 0.296242

Surface: s1
713.607314 -2511.375219 0.296242
713.864205 -2512.279287 0.674773
714.651126 -2511.580454 0.576026
714.449841 -2510.873053 0.279784

Surface: s2
717.463214 -2508.683766 0.279784
717.665348 -2509.390549 0.576026
717.798234 -2507.802104 0.674773
717.539929 -2506.899651 0.296242

Surface: u
714.651126 -2511.580454 0.576026
713.864205 -2512.279287 0.674773
717.798234 -2507.802104 0.674773
717.665348 -2509.390549 0.576026

Surface: l
713.607314 -2511.375219 0.296242
714.449841 -2510.873053 0.279784
717.463214 -2508.683766 0.279784
717.539929 -2506.899651 0.296242

Segment: 5
Surface: w1
713.607314 -2511.375219 0.296242
713.864205 -2512.279287 0.674773
717.798234 -2507.802104 0.674773
717.539929 -2506.899651 0.296242

Surface: w2
711.044693 -2512.142721 0.296242
711.300661 -2513.047065 0.674773
716.646206 -2505.711218 0.674773
716.388316 -2504.809521 0.296242

Surface: s1
711.044693 -2512.142721 0.296242
711.300661 -2513.047065 0.674773
713.864205 -2512.279287 0.674773
713.607314 -2511.375219 0.296242

Surface: s2
717.539929 -2506.899651 0.296242
717.798234 -2507.802104 0.674773
716.646206 -2505.711218 0.674773
716.388316 -2504.809521 0.296242

Surface: u
713.864205 -2512.279287 0.674773
711.300661 -2513.047065 0.674773
716.646206 -2505.711218 0.674773
717.798234 -2507.802104 0.674773

Surface: l
711.044693 -2512.142721 0.296242
713.607314 -2511.375219 0.296242
717.539929 -2506.899651 0.296242
716.388316 -2504.809521 0.296242

Segment: 6
Surface: w1
711.044693 -2512.142721 0.296242
711.300661 -2513.047065 0.674773
716.646206 -2505.711218 0.674773
716.388316 -2504.809521 0.296242

Surface: w2
710.917764 -2512.212963 0.312700
711.262698 -2513.431878 0.822894
707.227317 -2502.388738 0.822894
706.884346 -2501.175201 0.312700

Surface: s1
710.917764 -2512.212963 0.312700
711.262698 -2513.431878 0.822894
711.300661 -2513.047065 0.674773
711.044693 -2512.142721 0.296242

Surface: s2
716.388316 -2504.809521 0.296242
716.646206 -2505.711218 0.674773
707.227317 -2502.388738 0.822894
706.884346 -2501.175201 0.312700

Surface: u
711.300661 -2513.047065 0.674773
711.262698 -2513.431878 0.822894
707.227317 -2502.388738 0.822894
716.646206 -2505.711218 0.674773

Surface: l
710.917764 -2512.212963 0.312700
711.044693 -2512.142721 0.296242
716.388316 -2504.809521 0.296242
706.884346 -2501.175201 0.312700

Segment: 7
Surface: w1
710.917764 -2512.212963 0.312700
711.262698 -2513.431878 0.822894
707.227317 -2502.388738 0.822894
706.884346 -2501.175201 0.312700

Surface: w2
703.233054 -2525.776503 0.411447
703.508198 -2526.764728 0.822894
697.602783 -2505.080675 0.822894
697.329957 -2504.100962 0.411447

Surface: s1
703.233054 -2525.776503 0.411447
703.508198 -2526.764728 0.822894
711.262698 -2513.431878 0.822894
710.917764 -2512.212963 0.312700

Surface: s2
706.884346 -2501.175201 0.312700
707.227317 -2502.388738 0.822894
697.602783 -2505.080675 0.822894
697.329957 -2504.100962 0.411447

Surface: u
711.262698 -2513.431878 0.822894
703.508198 -2526.764728 0.822894
697.602783 -2505.080675 0.822894
707.227317 -2502.388738 0.822894

Surface: l
703.233054 -2525.776503 0.411447
710.917764 -2512.212963 0.312700
706.884346 -2501.175201 0.312700
697.329957 -2504.100962 0.411447

Segment: 8
Surface: w1
703.233054 -2525.776503 0.411447
703.508198 -2526.764728 0.822894
697.602783 -2505.080675 0.822894
697.329957 -2504.100962 0.411447

Surface: w2
699.904367 -2526.324624 0.411447
700.178209 -2527.313063 0.822894
694.755429 -2507.926519 0.822894
694.483716 -2506.945691 0.411447

Surface: s1
699.904367 -2526.324624 0.411447
700.178209 -2527.313063 0.822894
703.508198 -2526.764728 0.822894
703.233054 -2525.776503 0.411447

Surface: s2
697.329957 -2504.100962 0.411447
697.602783 -2505.080675 0.822894
694.755429 -2507.926519 0.822894
694.483716 -2506.945691 0.411447

Surface: u
703.508198 -2526.764728 0.822894
700.178209 -2527.313063 0.822894
694.755429 -2507.926519 0.822894
697.602783 -2505.080675 0.822894

Surface: l
699.904367 -2526.324624 0.411447
703.233054 -2525.776503 0.411447
697.329957 -2504.100962 0.411447
694.483716 -2506.945691 0.411447

Identifier: KEWR22RL_departure_corridor
Segment: 1
Surface: w1
713.549923 -2515.774871 0.000000
713.583437 -2515.893034 0.049374
713.401991 -2515.906657 0.049374
713.368485 -2515.788494 0.000000

Surface: w2
713.272186 -2516.442210 0.000000
713.473195 -2517.151375 0.296242
713.276017 -2517.142242 0.296242
713.075063 -2516.433080 0.000000

Surface: s1
713.272186 -2516.442210 0.000000
713.473195 -2517.151375 0.296242
713.583437 -2515.893034 0.049374
713.549923 -2515.774871 0.000000

Surface: s2
713.368485 -2515.788494 0.000000
713.401991 -2515.906657 0.049374
713.276017 -2517.142242 0.296242
713.075063 -2516.433080 0.000000

Surface: u
713.583437 -2515.893034 0.049374
713.473195 -2517.151375 0.296242
713.276017 -2517.142242 0.296242
713.401991 -2515.906657 0.049374

Surface: l
713.272186 -2516.442210 0.000000
713.549923 -2515.774871 0.000000
713.368485 -2515.788494 0.000000
713.075063 -2516.433080 0.000000

Segment: 2
Surface: w1
713.272186 -2516.442210 0.000000
713.473195 -2517.151375 0.296242
713.276017 -2517.142242 0.296242
713.075063 -2516.433080 0.000000

Surface: w2
713.847386 -2517.600622 0.115205
714.104410 -2518.507097 0.493737
712.872160 -2518.632768 0.493737
712.615579 -2517.726249 0.115205

Surface: s1
713.847386 -2517.600622 0.115205
714.104410 -2518.507097 0.493737
713.473195 -2517.151375 0.296242
713.272186 -2516.442210 0.000000

Surface: s2
713.075063 -2516.433080 0.000000
713.276017 -2517.142242 0.296242
712.872160 -2518.632768 0.493737
712.615579 -2517.726249 0.115205

Surface: u
713.473195 -2517.151375 0.296242
714.104410 -2518.507097 0.493737
712.872160 -2518.632768 0.493737
713.276017 -2517.142242 0.296242

Surface: l
713.847386 -2517.600622 0.115205
713.272186 -2516.442210 0.000000
713.075063 -2516.433080 0.000000
712.615579 -2517.726249 0.115205

Segment: 3
Surface: w1
713.847386 -2517.600622 0.115205
714.104410 -2518.507097 0.493737
712.872160 -2518.632768 0.493737
712.615579 -2517.726249 0.115205

Surface: w2
713.905445 -2518.140312 0.148121
714.363642 -2519.756497 0.822894
712.910977 -2519.810419 0.822894
712.453712 -2518.194199 0.148121

Surface: s1
713.905445 -2518.140312 0.148121
714.363642 -2519.756497 0.822894
714.104410 -2518.507097 0.493737
713.847386 -2517.600622 0.115205

Surface: s2
712.615579 -2517.726249 0.115205
712.872160 -2518.632768 0.493737
712.910977 -2519.810419 0.822894
712.453712 -2518.194199 0.148121

Surface: u
714.104410 -2518.507097 0.493737
714.363642 -2519.756497 0.822894
712.910977 -2519.810419 0.822894
712.872160 -2518.632768 0.493737

Surface: l
713.905445 -2518.140312 0.148121
713.847386 -2517.600622 0.115205
712.615579 -2517.726249 0.115205
712.453712 -2518.194199 0.148121

Segment: 4
Surface: w1
713.905445 -2518.140312 0.148121
714.363642 -2519.756497 0.822894
712.910977 -2519.810419 0.822894
712.453712 -2518.194199 0.148121

Surface: w2
713.216398 -2519.731509 0.279784
713.584789 -2521.033003 0.822894
712.435826 -2520.935732 0.822894
712.068029 -2519.634290 0.279784

Surface: s1
713.216398 -2519.731509 0.279784
713.584789 -2521.033003 0.822894
714.363642 -2519.756497 0.822894
713.905445 -2518.140312 0.148121

Surface: s2
712.453712 -2518.194199 0.148121
712.910977 -2519.810419 0.822894
712.435826 -2520.935732 0.822894
712.068029 -2519.634290 0.279784

Surface: u
714.363642 -2519.756497 0.822894
713.584789 -2521.033003 0.822894
712.435826 -2520.935732 0.822894
712.910977 -2519.810419 0.822894

Surface: l
713.216398 -2519.731509 0.279784
713.905445 -2518.140312 0.148121
712.453712 -2518.194199 0.148121
712.068029 -2519.634290 0.279784

Segment: 5
Surface: w1
713.216398 -2519.731509 0.279784
713.584789 -2521.033003 0.822894
712.435826 -2520.935732 0.822894
712.068029 -2519.634290 0.279784

Surface: w2
713.159661 -2524.052484 0.625400
713.293568 -2524.526413 0.822894
711.117693 -2523.928484 0.822894
710.984196 -2523.454669 0.625400

Surface: s1
713.159661 -2524.052484 0.625400
713.293568 -2524.526413 0.822894
713.584789 -2521.033003 0.822894
713.216398 -2519.731509 0.279784

Surface: s2
712.068029 -2519.634290 0.279784
712.435826 -2520.935732 0.822894
711.117693 -2523.928484 0.822894
710.984196 -2523.454669 0.625400

Surface: u
713.584789 -2521.033003 0.822894
713.293568 -2524.526413 0.822894
711.117693 -2523.928484 0.822894
712.435826 -2520.935732 0.822894

Surface: l
713.159661 -2524.052484 0.625400
713.216398 -2519.731509 0.279784
712.068029 -2519.634290 0.279784
710.984196 -2523.454669 0.625400

Segment: 6
Surface: w1
713.159661 -2524.052484 0.625400
713.293568 -2524.526413 0.822894
711.117693 -2523.928484 0.822894
710.984196 -2523.454669 0.625400

Surface: w2
713.151979 -2524.159989 0.625400
713.285884 -2524.633937 0.822894
711.028414 -2524.675071 0.822894
710.894933 -2524.201115 0.625400

Surface: s1
713.151979 -2524.159989 0.625400
713.285884 -2524.633937 0.822894
713.293568 -2524.526413 0.822894
713.159661 -2524.052484 0.625400

Surface: s2
710.984196 -2523.454669 0.625400
711.117693 -2523.928484 0.822894
711.028414 -2524.675071 0.822894
710.894933 -2524.201115 0.625400

Surface: u
713.293568 -2524.526413 0.822894
713.285884 -2524.633937 0.822894
711.028414 -2524.675071 0.822894
711.117693 -2523.928484 0.822894

Surface: l
713.151979 -2524.159989 0.625400
713.159661 -2524.052484 0.625400
710.984196 -2523.454669 0.625400
710.894933 -2524.201115 0.625400

Segment: 7
Surface: w1
713.151979 -2524.159989 0.625400
713.285884 -2524.633937 0.822894
711.028414 -2524.675071 0.822894
710.894933 -2524.201115 0.625400

Surface: w2
714.739917 -2526.931478 0.789978
714.762281 -2527.010544 0.822894
711.324679 -2525.203419 0.822894
711.302423 -2525.124410 0.789978

Surface: s1
714.739917 -2526.931478 0.789978
714.762281 -2527.010544 0.822894
713.285884 -2524.633937 0.822894
713.151979 -2524.159989 0.625400

Surface: s2
710.894933 -2524.201115 0.625400
711.028414 -2524.675071 0.822894
711.324679 -2525.203419 0.822894
711.302423 -2525.124410 0.789978

Surface: u
713.285884 -2524.633937 0.822894
714.762281 -2527.010544 0.822894
711.324679 -2525.203419 0.822894
711.028414 -2524.675071 0.822894

Surface: l
714.739917 -2526.931478 0.789978
713.151979 -2524.159989 0.625400
710.894933 -2524.201115 0.625400
711.302423 -2525.124410 0.789978

Identifier: KEWR29_arrival_corridor
Segment: 1
Surface: w1
713.069723 -2515.461681 0.000000
713.092051 -2515.540446 0.032916
713.093427 -2515.558184 0.032916
713.071099 -2515.479418 0.000000

Surface: w2
715.936968 -2514.732130 0.016458
716.049055 -2515.125836 0.181037
716.182366 -2515.344040 0.181037
716.070258 -2514.950299 0.016458

Surface: s1
715.936968 -2514.732130 0.016458
716.049055 -2515.125836 0.181037
713.092051 -2515.540446 0.032916
713.069723 -2515.461681 0.000000

Surface: s2
713.071099 -2515.479418 0.000000
713.093427 -2515.558184 0.032916
716.182366 -2515.344040 0.181037
716.070258 -2514.950299 0.016458

Surface: u
713.092051 -2515.540446 0.032916
716.049055 -2515.125836 0.181037
716.182366 -2515.344040 0.181037
713.093427 -2515.558184 0.032916

Surface: l
715.936968 -2514.732130 0.016458
713.069723 -2515.461681 0.000000
713.071099 -2515.479418 0.000000
716.070258 -2514.950299 0.016458

Segment: 2
Surface: w1
715.936968 -2514.732130 0.016458
716.049055 -2515.125836 0.181037
716.182366 -2515.344040 0.181037
716.070258 -2514.950299 0.016458

Surface: w2
716.211574 -2514.596750 0.049374
716.334913 -2515.029789 0.230410
716.917497 -2515.058997 0.230410
716.794058 -2514.625952 0.049374

Surface: s1
716.211574 -2514.596750 0.049374
716.334913 -2515.029789 0.230410
716.049055 -2515.125836 0.181037
715.936968 -2514.732130 0.016458

Surface: s2
716.070258 -2514.950299 0.016458
716.182366 -2515.344040 0.181037
716.917497 -2515.058997 0.230410
716.794058 -2514.625952 0.049374

Surface: u
716.049055 -2515.125836 0.181037
716.334913 -2515.029789 0.230410
716.917497 -2515.058997 0.230410
716.182366 -2515.344040 0.181037

Surface: l
716.211574 -2514.596750 0.049374
715.936968 -2514.732130 0.016458
716.070258 -2514.950299 0.016458
